City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,0,Rikitea,PF,-23.1203,-134.9692,73.04,78,96,8.12,overcast clouds
1,1,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,82,40,12.66,scattered clouds
2,2,Cap Malheureux,MU,-19.9842,57.6142,71.47,69,5,5.99,clear sky
3,3,Iberia,US,29.9502,-91.7507,82.98,89,1,4.61,clear sky
4,4,Bluff,NZ,-46.6,168.3333,45.81,87,100,28.36,overcast clouds
5,5,Dolores,AR,-36.3132,-57.6792,54.54,96,100,17.43,moderate rain
6,6,Sao Filipe,CV,14.8961,-24.4956,78.06,78,61,12.64,broken clouds
7,7,Bethel,US,41.3712,-73.414,80.06,74,75,3.0,broken clouds
8,8,Karratha,AU,-20.7377,116.8463,69.98,53,9,2.42,light rain
9,9,Castro,BR,-24.7911,-50.0119,84.22,30,86,13.49,overcast clouds
10,10,Vardo,NO,70.3705,31.1107,44.8,70,100,16.75,overcast clouds
11,11,Roebourne,AU,-20.7833,117.1333,69.76,50,7,3.11,light rain
12,12,East London,ZA,-33.0153,27.9116,67.41,48,2,5.84,clear sky
13,13,Cape Town,ZA,-33.9258,18.4232,64.11,66,45,3.0,scattered clouds
14,14,Westport,US,41.1415,-73.3579,81.16,80,1,1.99,clear sky
15,15,Bredasdorp,ZA,-34.5322,20.0403,61.29,65,74,8.68,broken clouds
16,16,Mataura,NZ,-46.1927,168.8643,45.48,96,100,8.9,light rain
17,17,Kruisfontein,ZA,-34.0033,24.7314,65.88,48,7,12.64,clear sky
18,18,Moerai,PF,-22.4333,-151.3333,71.74,73,52,17.16,broken clouds
19,19,Kapaa,US,22.0752,-159.319,79.12,77,90,13.8,light rain
20,20,Atuona,PF,-9.8,-139.0333,77.5,79,30,15.52,light rain
21,21,Montepuez,MZ,-13.1256,38.9997,79.3,48,90,10.11,overcast clouds
22,22,Lavrentiya,RU,65.5833,-171.0,37.6,87,100,5.17,overcast clouds
23,23,Cairns,AU,-16.9167,145.7667,69.75,81,75,13.8,broken clouds
24,24,Severo-Kurilsk,RU,50.6789,156.125,52.29,89,52,12.66,broken clouds
25,25,Kahului,US,20.8947,-156.47,75.22,73,1,13.8,clear sky
26,26,Kajaani,FI,64.2273,27.7285,59.05,72,40,12.66,scattered clouds
27,27,Yuganets,RU,56.2508,43.2307,58.89,82,88,12.68,overcast clouds
28,28,Butaritari,KI,3.0707,172.7902,83.55,75,9,17.45,clear sky
29,29,Esperance,AU,-33.8667,121.9,60.76,68,0,1.95,clear sky
30,30,Tshikapa,CD,-6.4167,20.8,86.04,49,100,5.01,light rain
31,31,Viedma,AR,-40.8135,-62.9967,58.89,44,99,12.91,overcast clouds
32,32,Gornyy,RU,55.1153,83.9059,53.8,71,89,6.38,overcast clouds
33,33,Coahuayana,MX,18.7333,-103.6833,80.08,81,100,2.73,overcast clouds
34,34,Qaanaaq,GL,77.484,-69.3632,17.38,65,19,7.67,few clouds
35,35,Klaksvik,FO,62.2266,-6.589,52.72,88,100,12.26,overcast clouds
36,36,Constitucion,CL,-35.3333,-72.4167,56.52,55,0,9.01,clear sky
37,37,Mar Del Plata,AR,-38.0023,-57.5575,52.45,93,100,23.26,light rain
38,38,Jamestown,US,42.097,-79.2353,68.34,95,90,4.0,overcast clouds
39,39,Tyukhtet,RU,56.5389,89.3011,58.55,64,100,7.83,overcast clouds
40,40,Kununurra,AU,-15.7667,128.7333,76.98,27,1,8.05,clear sky
41,41,Pisco,PE,-13.7,-76.2167,66.25,72,0,12.66,clear sky
42,42,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,75,24.16,broken clouds
43,43,Saint George,US,37.1041,-113.5841,77.47,19,1,0.0,clear sky
44,44,Prieska,ZA,-29.6641,22.7474,73.6,12,0,6.64,clear sky
45,45,Hobart,AU,-42.8794,147.3294,60.66,47,95,5.99,overcast clouds
46,46,Chapais,CA,49.7834,-74.8492,55.18,96,100,9.04,overcast clouds
47,47,Kasongo,CD,-4.45,26.6667,85.41,42,100,1.25,light rain
48,48,Klyuchi,RU,52.2667,79.1667,61.02,64,94,10.89,overcast clouds
49,49,Hilo,US,19.7297,-155.09,77.29,73,75,5.75,broken clouds
50,50,Pangnirtung,CA,66.1451,-65.7125,41.05,48,8,7.43,clear sky
51,51,Udachnyy,RU,66.4167,112.4,53.65,61,100,4.9,overcast clouds
52,52,Jacareacanga,BR,-6.2222,-57.7528,97.66,36,50,3.09,light rain
53,53,Dabat,ET,12.9842,37.765,58.59,83,87,4.0,light rain
54,54,San Cristobal,VE,7.7669,-72.225,77.18,49,25,5.41,scattered clouds
55,55,Tahta,EG,26.7693,31.5021,104.31,14,0,17.85,clear sky
56,56,Terney,RU,45.0503,136.6092,60.6,90,35,4.56,scattered clouds
57,57,Hermanus,ZA,-34.4187,19.2345,63.9,68,72,5.91,broken clouds
58,58,Killybegs,IE,54.6333,-8.45,69.51,77,100,5.95,light rain
59,59,Mariinsk,RU,56.2139,87.7472,56.68,74,100,3.38,overcast clouds
60,60,Port Hardy,CA,50.6996,-127.4199,57.38,94,90,3.44,light rain
61,61,Tasiilaq,GL,65.6145,-37.6368,50.16,52,0,12.68,clear sky
62,62,Rincon,US,32.296,-81.2354,88.25,71,75,9.22,broken clouds
63,63,New Norfolk,AU,-42.7826,147.0587,60.3,46,84,1.99,broken clouds
64,64,Punta Arenas,CL,-53.15,-70.9167,51.91,66,75,10.36,broken clouds
65,65,Druzhba,UA,52.0428,33.9453,64.98,47,40,8.52,scattered clouds
66,66,Maryborough,AU,-25.5333,152.7,55.92,91,1,4.27,clear sky
67,67,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,99.64,15,13,14.05,few clouds
68,68,Ushuaia,AR,-54.8,-68.3,56.86,47,75,20.71,broken clouds
69,69,Kiunga,PG,-6.1219,141.2906,72.52,96,100,5.79,overcast clouds
70,70,Norman Wells,CA,65.282,-126.8329,46.47,87,6,3.89,clear sky
71,71,Lodwar,KE,3.1191,35.5973,92.48,29,58,10.25,broken clouds
72,72,Carnarvon,AU,-24.8667,113.6333,57.27,100,0,6.91,clear sky
73,73,Nikolskoye,RU,59.7035,30.7861,62.49,77,100,9.93,overcast clouds
74,74,Cayenne,GF,4.9333,-52.3333,89.64,77,75,4.0,broken clouds
75,75,Thompson,CA,55.7435,-97.8558,59.16,88,75,12.66,broken clouds
76,76,Namtsy,RU,62.7161,129.6658,50.11,71,44,4.83,scattered clouds
77,77,Hanzhong,CN,33.0728,107.0303,68.76,87,95,1.12,overcast clouds
78,78,Faya,SA,18.3851,42.4509,81.12,19,76,12.8,broken clouds
79,79,Bindi,SL,9.9167,-11.45,83.79,74,87,1.61,overcast clouds
80,80,Gigmoto,PH,13.7796,124.39,80.29,86,100,6.73,overcast clouds
81,81,Vaini,TO,-21.2,-175.2,75.36,94,75,5.75,light rain
82,82,Broome,US,42.2506,-75.833,77.54,61,93,1.01,overcast clouds
83,83,Dholka,IN,22.7167,72.4667,84.58,88,100,10.0,overcast clouds
84,84,Olafsvik,IS,64.8945,-23.7142,50.88,73,54,19.24,broken clouds
85,85,Biak,ID,-0.9131,122.8766,74.8,84,100,7.96,overcast clouds
86,86,Geraldton,AU,-28.7667,114.6,64.98,88,3,8.3,clear sky
87,87,Dukat,RU,62.55,155.55,24.84,90,95,16.02,light snow
88,88,Bandarbeyla,SO,9.4942,50.8122,78.03,79,99,33.26,overcast clouds
89,89,Gorin,RU,51.1983,136.6669,55.92,87,40,2.55,scattered clouds
90,90,Albany,US,42.6001,-73.9662,79.38,70,14,1.01,few clouds
91,91,Cherskiy,RU,68.75,161.3,28.11,89,30,6.26,scattered clouds
92,92,Sampues,CO,9.1836,-75.3817,82.08,76,52,2.98,broken clouds
93,93,Port Alfred,ZA,-33.5906,26.891,64.96,51,14,12.03,few clouds
94,94,Riyadh,SA,24.6877,46.7219,105.94,7,30,13.96,scattered clouds
95,95,Khorinsk,RU,52.1657,109.7726,38.37,92,89,5.21,overcast clouds
96,96,Puerto Ayora,EC,-0.7393,-90.3518,70.56,91,91,7.0,overcast clouds
97,97,Chute-Aux-Outardes,CA,49.1168,-68.399,69.4,78,99,6.38,light rain
98,98,Nyurba,RU,63.2842,118.3319,47.35,82,9,3.58,clear sky
