City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carutapera,BR,2021-09-05 21:16:52,-1.195,-46.02,79.86,78,40,9.35
1,Taoudenni,ML,2021-09-05 21:16:53,22.6783,-3.9836,102.04,9,2,7.7
2,Rikitea,PF,2021-09-05 21:16:53,-23.1203,-134.9692,74.25,76,88,13.31
3,Saint George,US,2021-09-05 21:16:53,37.1041,-113.5841,101.79,15,1,1.01
4,Cobija,BO,2021-09-05 21:16:54,-11.0267,-68.7692,83.21,59,91,3.09
5,Miraflores,MX,2021-09-05 21:16:54,19.2167,-98.8083,72.36,83,100,2.37
6,Qaanaaq,GL,2021-09-05 21:16:55,77.484,-69.3632,19.08,79,54,5.82
7,Tirur,IN,2021-09-05 21:16:55,10.9,75.9167,74.39,93,100,9.04
8,Saraza,PH,2021-09-05 21:16:55,8.7356,117.78,78.62,84,76,2.62
9,Camapua,BR,2021-09-05 21:16:56,-19.5314,-54.0439,90.41,26,91,5.1
10,Jamestown,US,2021-09-05 21:15:16,42.097,-79.2353,72.99,64,40,11.5
11,Bambous Virieux,MU,2021-09-05 21:16:57,-20.3428,57.7575,71.85,64,40,14.97
12,Beloha,MG,2021-09-05 21:16:57,-25.1667,45.05,72.0,50,0,12.15
13,Songjianghe,CN,2021-09-05 21:16:57,42.1859,127.479,50.47,79,100,4.12
14,Vorozhba,UA,2021-09-05 21:16:58,51.1733,34.2192,44.06,74,25,6.42
15,Bluff,NZ,2021-09-05 21:16:58,-46.6,168.3333,57.79,62,100,20.69
16,Tasiilaq,GL,2021-09-05 21:16:59,65.6145,-37.6368,42.96,97,100,4.36
17,Punta Arenas,CL,2021-09-05 21:15:30,-53.15,-70.9167,51.91,50,0,5.75
18,Hambantota,LK,2021-09-05 21:16:59,6.1241,81.1185,78.76,83,100,18.34
19,Ushuaia,AR,2021-09-05 21:14:20,-54.8,-68.3,51.46,58,20,1.14
20,Mataura,NZ,2021-09-05 21:17:00,-46.1927,168.8643,57.47,76,100,3.49
21,Neder Vindinge,DK,2021-09-05 21:17:00,55.0321,11.8836,59.04,75,8,12.64
22,Atuona,PF,2021-09-05 21:17:01,-9.8,-139.0333,78.1,75,31,18.52
23,Albany,US,2021-09-05 21:15:43,42.6001,-73.9662,69.75,85,99,5.99
24,Nikolskoye,RU,2021-09-05 21:17:01,59.7035,30.7861,45.01,79,95,5.06
25,Cape Town,ZA,2021-09-05 21:17:02,-33.9258,18.4232,50.11,81,75,1.14
26,Vaini,TO,2021-09-05 21:17:02,-21.2,-175.2,73.56,100,90,4.61
27,Hokitika,NZ,2021-09-05 21:17:03,-42.7167,170.9667,50.7,84,100,8.95
28,Tuktoyaktuk,CA,2021-09-05 21:17:03,69.4541,-133.0374,50.0,87,90,8.05
29,Bantogon,PH,2021-09-05 21:17:03,6.5333,124.0333,77.31,85,100,3.31
30,New Norfolk,AU,2021-09-05 21:17:04,-42.7826,147.0587,45.9,73,8,1.99
31,Grindavik,IS,2021-09-05 21:17:04,63.8424,-22.4338,49.95,81,40,16.11
32,Henties Bay,NA,2021-09-05 21:17:05,-22.116,14.2845,53.85,87,50,7.9
33,Tautira,PF,2021-09-05 21:17:05,-17.7333,-149.15,82.42,72,27,12.5
34,Tessalit,ML,2021-09-05 21:17:06,20.1986,1.0114,93.69,11,3,11.12
35,Suarez,CO,2021-09-05 21:17:06,2.954,-76.6964,73.27,88,82,4.7
36,Onufriyivka,UA,2021-09-05 21:17:06,48.9072,33.4487,50.34,60,20,6.76
37,Hermanus,ZA,2021-09-05 21:17:07,-34.4187,19.2345,49.89,56,100,10.94
38,Mahebourg,MU,2021-09-05 21:17:07,-20.4081,57.7,71.89,64,40,14.97
39,Barcelos,PT,2021-09-05 21:17:08,41.5388,-8.6151,75.92,61,16,3.42
